# WP-SCHEMA P3 Orphan Check

Candidate one-source keys: 40

| Key | Live provision count |
| --- | ---: |
| alsoSurfacedAs | 0 |
| amendmentsRequirement | 17 |
| appliesTo | 0 |
| baseSalaryStandard | 0 |
| benefitsStandard | 0 |
| bonusStandard | 0 |
| chapeauProviso | 13 |
| closingConditionsPrecedent | 0 |
| closingDeadline | 0 |
| curePeriod | 0 |
| extensionAvailable | 0 |
| extensionConsentParty | 0 |
| extensionTrigger | 0 |
| healthWelfareStandard | 0 |
| inlineDefinition | 2354 |
| iocAffirmativeScope | 0 |
| iocAffirmativeStandard | 0 |
| isNewCode | 3 |
| jurisdiction | 19 |
| longTermIncentiveStandard | 0 |
| ltiStandard | 0 |
| maeStandaloneCondition | 0 |
| materialityQualifiers | 0 |
| partOfRep | 0 |
| proposedCode | 3 |
| proposedLabel | 3 |
| proviso | 0 |
| reapplied_corrections | 0 |
| relatedDefinitions | 0 |
| severanceStandard | 0 |
| sort_order | 3425 |
| sourceSection | 2354 |
| sourceSectionTitle | 0 |
| sourceSectionType | 2354 |
| startChar | 0 |
| survivingEntity | 0 |
| targetBonusStandard | 0 |
| triggerTerminationClauses | 0 |
| vestingStatus | 0 |
| waiverStandard | 16 |
